"USDA and ODS-NIH Database for the Purine Content of Foods
Release 2, March 2025",,,,,,,,,,,,,,,,,,,,,,
Presented in milligrams per 100 grams (mg/100g),,,,,,,,,,,,,,,,,,,,,,
International Published Literature (Excluding North America),,,,,,,,,,,,,,,,,,,,,,
Food Description,N,Adenine,,,,Guanine,,,,Hypoxanthine,,,,Xanthine,,,,Total of 4 Purine Bases (mg/100g),Uric Acid (mg/100g)*,Year(s) Published,Data Source1,Country of Origin2 
,,Mean (mg/100g)*,SEM,Min,Max,Mean (mg/100g)*,SEM,Min,Max,Mean (mg/100g)*,SEM,Min,Max,Mean (mg/100g)*,SEM,Min,Max,,,,,
"Asparagus, raw6",2,12,-,3.6,21,18,-,4.8,31,2.8,-,1.7,3.8,0.2,-,0.1,0.3,33,-,2014,b,Japan
"Balsam pear (goya), raw",1,3.5,-,-,-,4.3,-,-,-,1.1,-,-,-,1.0,-,-,-,10,-,2014,b,Japan
"Bamboo shoots, raw6",2,19,-,13,25,26,-,17,35,1.8,-,0.7,2.8,0.5,-,0.4,0.6,47,-,2014,b,Japan
"Bean sprouts, with bean, raw",1,28,-,-,-,28,-,-,-,0,-,-,-,1.1,-,-,-,57,-,2014,b,Japan
"Bean sprouts, without bean, raw",1,14,-,-,-,14,-,-,-,3.2,-,-,-,3.5,-,-,-,35,,2014,b,Japan
Brassicaceae (blossom),1,9.8,-,-,-,16,-,-,-,0.5,-,-,-,0.5,-,-,-,27,-,2020,n,Japan
"Broccoli sprouts, raw",1,60,-,-,-,57,-,-,-,8.1,-,-,-,4.8,-,-,-,130,-,2014,b,Japan
"Broccoli, boiled",1,21,-,-,-,29,-,-,-,1.9,-,-,-,0.7,-,-,-,52,-,2008,d,Japan
"Broccoli, raw",1,25,-,-,-,34,-,-,-,5.7,-,-,-,5.3,-,-,-,70,-,2014,b,Japan
Burdock,1,1.8,-,-,-,3.3,-,-,-,0,-,-,-,0,-,-,-,5.1,-,2020,n,Japan
"Cabbage, chinese (pak-choi), raw",1,2.6,-,-,-,2.9,-,-,-,1.2,-,-,-,0.3,-,-,-,7.0,-,2014,b,Japan
"Cabbage, Chinese (qing-geng-cai)",1,3,-,-,-,7.8,-,-,-,1.3,-,-,-,0.3,-,-,-,12,-,2020,n,Japan
"Cabbage, raw",1,1.3,-,-,-,1.7,-,-,-,0.2,-,-,-,0,-,-,-,3.2,-,2014,b,Japan
"Carrots, raw",1,0.7,-,-,-,1.4,-,-,-,0,-,-,-,0,-,-,-,2.1,-,2014,b,Japan
"Cauliflower, raw",1,27,-,-,-,30,-,-,-,ND,-,-,-,0,-,-,-,57,-,2014,b,Japan
Coriander,1,12,-,-,-,25,-,-,-,1.6,-,-,-,0.6,-,-,-,39,-,2020,n,Japan
"Corn, raw",1,4.7,-,-,-,6.9,-,-,-,0.1,-,-,-,0.1,-,-,-,12,-,2014,b,Japan
"Cucumber, raw",1,4.2,-,-,-,5,-,-,-,0.1,-,-,-,0.1,-,-,-,9.4,-,2014,b,Japan
"Eggplant, raw",1,11,-,-,-,32,-,-,-,6.6,-,-,-,1.6,-,-,-,51,-,2014,b,Japan
Garland chrysanthemum,1,19,-,-,-,27,-,-,-,0.6,-,-,-,0.3,-,-,-,47,-,2020,n,Japan
"Garlic chives (nira), raw",1,9.4,-,-,-,8.5,-,-,-,1.4,-,-,-,0.1,-,-,-,19,-,2014,b,Japan
"Garlic, raw",1,6.0,-,-,-,6.9,-,-,-,3.4,-,-,-,0.7,-,-,-,17,-,2014,b,Japan
"Ginger root, raw",1,0.4,-,-,-,1.4,-,-,-,0,-,-,-,0.5,-,-,-,2.3,-,2014,b,Japan
"Ginger, Japanese (myoga), raw",1,3.1,-,-,-,3.5,-,-,-,0.7,-,-,-,0.4,-,-,-,7.7,-,2014,b,Japan
Green beans,1,2.2,-,-,-,4.6,-,-,-,0.1,-,-,-,0.6,-,-,-,7.5,-,2020,n,Japan
Honewort,1,5.3,-,-,-,5.8,-,-,-,0.4,-,-,-,0,-,-,-,12,-,2020,n,Japan
Konnyaku,1,0.1,-,-,-,0.3,-,-,-,0,-,-,-,0,-,-,-,0.4,-,2020,n,Japan
"Leek, Japanese (negi), raw",1,12,-,-,-,27,-,-,-,2.6,-,-,-,0,-,-,-,41,-,2014,b,Japan
Lettuce,1,1.2,-,-,-,3.2,-,-,-,0.3,-,-,-,0,-,-,-,4.7,-,2020,n,Japan
Lotus root,1,0.2,-,-,-,0.1,-,-,-,0,-,-,-,0,-,-,-,0.3,-,2020,n,Japan
Mizuna (potherb mustard),1,7.4,-,-,-,13,-,-,-,0.2,-,-,-,0.1,-,-,-,20,-,2020,n,Japan
"Mushroom, bunapii, raw",1,12,-,-,-,12,-,-,-,3.2,-,-,-,3.0,-,-,-,31,-,2014,b,Japan
"Mushroom, hatakeshimeji, raw",1,9.1,-,-,-,5.7,-,-,-,0.7,-,-,-,0.5,-,-,-,16,-,2014,b,Japan
"Mushroom, Jew's ear, dried",1,55,-,-,-,93,-,-,-,7.9,-,-,-,0,-,-,-,156,-,2014,b,Japan
"Mushroom, tsukuritake, raw",1,28,-,-,-,21,-,-,-,0,-,-,-,0,-,-,-,50,-,2014,b,Japan
"Mushroom, usu-hiratake, raw",1,17,-,-,-,16,-,-,-,1.9,-,-,-,3.5,-,-,-,38,-,2014,b,Japan
"Mushroom, white aragekikurage, raw",1,2.3,-,-,-,4.1,-,-,-,0.4,-,-,-,0.1,-,-,-,6.9,-,2014,b,Japan
"Mushroom, white hiratake, raw",1,27,-,-,-,33,-,-,-,2.6,-,-,-,4.3,-,-,-,67,-,2014,b,Japan
"Mushroom, yamabushitake, raw",1,12,-,-,-,21,-,-,-,0.7,-,-,-,0,-,-,-,34,-,2014,b,Japan
"Mushroom, yanagimatsutake, raw",1,6.1,-,-,-,12,-,-,-,4.9,-,-,-,3.3,-,-,-,26,-,2014,b,Japan
"Mushrooms, bunashimeji, raw",1,9.4,-,-,-,8,-,-,-,1.1,-,-,-,2.3,-,-,-,21,-,2014,b,Japan
"Mushrooms, enoki, raw",1,30,-,-,-,20,-,-,-,0,-,-,-,0,-,-,-,49,-,2014,b,Japan
"Mushrooms, eringi, raw",1,5.0,-,-,-,5.3,-,-,-,0.7,-,-,-,2.4,-,-,-,13,-,2014,b,Japan
"Mushrooms, hiratake, raw",1,74,-,-,-,68,-,-,-,0,-,-,-,0,-,-,-,142,-,2014,b,Japan
"Mushrooms, maitake, raw",1,47,-,-,-,39,-,-,-,7.9,-,-,-,4.4,-,-,-,99,-,2014,b,Japan
"Mushrooms, nameko, raw",2,9.4,-,3.8,15,8.3,-,2.9,14,0.7,-,ND,1.4,0.7,-,0,1.4,19,-,2014,b,Japan
"Mushrooms, shiitake, dried",2,168,-,133,203,133,-,98,168,5.8,-,0,12,4.8,-,0.5,9.1,312,-,2014,b,Japan
"Mushrooms, shiitake, raw",4,8.6,1.1,5.5,11,10,2.1,7.6,13,3.2,1.3,0.5,6.1,1,0.4,0,2.1,23,-,2014,b,Japan
"Mustard spinach, (komatsuna), mature, raw",1,4.2,-,-,-,6.3,-,-,-,0,-,-,-,0,-,-,-,11,-,2014,b,Japan
"Mustard spinach, (komatsuna), young, raw",1,13,-,-,-,25,-,-,-,0,-,-,-,1.4,-,-,-,39,-,2014,b,Japan
"Okra, raw",1,17,-,-,-,21,-,-,-,0.3,-,-,-,0.7,-,-,-,40,-,2014,b,Japan
"Onions, raw",1,1.0,-,-,-,1.1,-,-,-,0.1,-,-,-,0,-,-,-,2.2,-,2014,b,Japan
"Paprika, red",1,0.3,-,-,-,0.6,-,-,-,0.1,-,-,-,0.1,-,-,-,1.1,-,2020,n,Japan
"Parsley, fresh",1,122,-,-,-,135,-,-,-,32,-,-,-,0,-,-,-,289,-,2014,b,Japan
"Parsley, Japanese",1,6.5,-,-,-,12,-,-,-,0.3,-,-,-,0.1,-,-,-,19,-,2020,n,Japan
"Peas, green, canned",1,6.8,-,-,-,12,-,-,-,0,-,-,-,ND,-,-,-,19,-,2014,b,Japan
"Peas, podded",1,2.4,-,-,-,7.5,-,-,-,0,-,-,-,0.5,-,-,-,10,-,2020,n,Japan
"Pepper, green",1,0.7,-,-,-,1.3,-,-,-,0.2,-,-,-,0.1,-,-,-,2.3,-,2020,n,Japan
"Pepper, green, pickled",1,0.7,-,-,-,1.8,-,-,-,0.4,-,-,-,0.2,-,-,-,3.1,-,2020,n,Japan
"Pepper, red (capsicum)",1,1.9,-,-,-,3.0,-,-,-,0.2,-,-,-,ND,-,-,-,5.1,-,2020,n,Japan
"Pepper, red green",1,0.2,-,-,-,0.6,-,-,-,0.1,-,-,-,0,-,-,-,0.9,-,2020,n,Japan
"Pepper, sweet, green, raw",1,16,-,-,-,36,-,-,-,7.0,-,-,-,11,-,-,-,69,-,2014,b,Japan
"Perilla leaves, shiso, raw",1,19,-,-,-,19,-,-,-,3.1,-,-,-,0.2,-,-,-,42,-,2014,b,Japan
"Potato, raw",1,2.1,-,-,-,4.2,-,-,-,0.2,-,-,-,0,-,-,-,6.5,-,2014,b,Japan
"Pumpkin, raw",1,23,-,-,-,29,-,-,-,1.9,-,-,-,2.5,-,-,-,57,-,2014,b,Japan
"Radish leaf, Japanese",1,14,-,-,-,19,-,-,-,0.3,-,-,-,0,-,-,-,34,-,2020,n,Japan
"Radish root, Japanese",1,0.8,-,-,-,0.9,-,-,-,0,-,-,-,0,-,-,-,1.7,-,2020,n,Japan
"Radish sprouts, white, raw",1,34,-,-,-,29,-,-,-,6.4,-,-,-,3.5,-,-,-,73,-,2014,b,Japan
"Seaweed, hijiki, dried",1,31,-,-,-,77,-,-,-,25,-,-,-,0,-,-,-,133,-,2014,b,Japan
"Seaweed, kombu, dried",1,18,-,-,-,22,-,-,-,4.7,-,-,-,1.9,-,-,-,46,-,2014,b,Japan
"Seaweed, mozuku, dried",1,5.6,-,-,-,9.4,-,-,-,0.5,-,-,-,0,-,-,-,16,-,2014,b,Japan
"Seaweed, nori, dried",1,216,-,-,-,299,-,-,-,73,-,-,-,3.2,-,-,-,592,-,2014,b,Japan
"Seaweed, wakame, raw",1,68,-,-,-,148,-,-,-,47,-,-,-,0,-,-,-,262,-,2014,b,Japan
